,sepal_length,sepal_width,petal_length,petal_width,species
0,5.2 cm,3500.0 mm,1.5,0.2,setosa
1,6.4 cm,3100.0 mm,5.5,1.8,virginica
2,4.9 cm,3100.0 mm,1.5,0.1,setosa
3,5.6 cm,2800.0 mm,4.9,2.0,virginica
4,5.1 cm,3800.0 mm,1.9,0.4,setosa
5,4.6 cm,3200.0 mm,1.4,0.2,setosa
6,5.6 cm,2900.0 mm,3.6,1.3,versicolor
7,5.5 cm,4200.0 mm,1.4,0.2,setosa
8,6.6 cm,3000.0 mm,4.4,1.4,versicolor
9,5.7 cm,2600.0 mm,3.5,1.0,versicolor
10,6.1 cm,2800.0 mm,4.7,1.2,versicolor
11,5.6 cm,3000.0 mm,4.1,1.3,versicolor
12,5.4 cm,3400.0 mm,1.5,0.4,setosa
13,5.9 cm,3200.0 mm,4.8,1.8,versicolor
14,6.3 cm,2700.0 mm,4.9,1.8,virginica
15,5.0 cm,3400.0 mm,1.6,0.4,setosa
16,4.4 cm,3000.0 mm,1.3,0.2,setosa
17,7.7 cm,2600.0 mm,6.9,2.3,virginica
18,4.8 cm,3400.0 mm,1.6,0.2,setosa
19,6.4 cm,2800.0 mm,5.6,2.2,virginica
20,6.4 cm,2800.0 mm,5.6,2.1,virginica
21,5.1 cm,3400.0 mm,1.5,0.2,setosa
22,6.8 cm,3000.0 mm,5.5,2.1,virginica
23,6.5 cm,3000.0 mm,5.2,2.0,virginica
24,5.2 cm,2700.0 mm,3.9,1.4,versicolor
25,6.5 cm,2800.0 mm,4.6,1.5,versicolor
26,5.6 cm,2500.0 mm,3.9,1.1,versicolor
27,6.4 cm,3200.0 mm,5.3,2.3,virginica
28,4.3 cm,3000.0 mm,1.1,0.1,setosa
29,6.9 cm,3100.0 mm,4.9,1.5,versicolor
30,6.0 cm,2200.0 mm,4.0,1.0,versicolor
31,5.1 cm,3700.0 mm,1.5,0.4,setosa
32,5.5 cm,2400.0 mm,3.7,1.0,versicolor
33,6.0 cm,2900.0 mm,4.5,1.5,versicolor
34,5.1 cm,3500.0 mm,1.4,0.2,setosa
35,5.1 cm,3800.0 mm,1.5,0.3,setosa
36,4.9 cm,3100.0 mm,1.5,0.1,setosa
37,6.5 cm,3000.0 mm,5.5,1.8,virginica
38,4.9 cm,2500.0 mm,4.5,1.7,virginica
39,5.8 cm,2600.0 mm,4.0,1.2,versicolor
40,6.1 cm,2900.0 mm,4.7,1.4,versicolor
41,5.1 cm,3300.0 mm,1.7,0.5,setosa
42,6.4 cm,3200.0 mm,4.5,1.5,versicolor
43,5.0 cm,3500.0 mm,1.6,0.6,setosa
44,5.7 cm,2800.0 mm,4.5,1.3,versicolor
45,5.4 cm,3900.0 mm,1.7,0.4,setosa
46,7.2 cm,3000.0 mm,5.8,1.6,virginica
47,5.4 cm,3900.0 mm,1.3,0.4,setosa
48,4.9 cm,3000.0 mm,1.4,0.2,setosa
49,4.7 cm,3200.0 mm,1.3,0.2,setosa
50,6.5 cm,3000.0 mm,5.8,2.2,virginica
51,5.8 cm,2700.0 mm,3.9,1.2,versicolor
52,5.4 cm,3400.0 mm,1.7,0.2,setosa
53,6.3 cm,2500.0 mm,4.9,1.5,versicolor
54,4.9 cm,3100.0 mm,1.5,0.1,setosa
55,5.0 cm,2300.0 mm,3.3,1.0,versicolor
56,5.5 cm,3500.0 mm,1.3,0.2,setosa
57,5.8 cm,2700.0 mm,5.1,1.9,virginica
58,6.1 cm,3000.0 mm,4.6,1.4,versicolor
59,5.5 cm,2600.0 mm,4.4,1.2,versicolor
60,7.7 cm,3000.0 mm,6.1,2.3,virginica
61,6.0 cm,2200.0 mm,5.0,1.5,virginica
62,5.6 cm,3000.0 mm,4.5,1.5,versicolor
63,6.7 cm,3100.0 mm,4.4,1.4,versicolor
64,6.3 cm,2800.0 mm,5.1,1.5,virginica
65,6.2 cm,2200.0 mm,4.5,1.5,versicolor
66,4.8 cm,3000.0 mm,1.4,0.3,setosa
67,6.7 cm,3100.0 mm,5.6,2.4,virginica
68,6.5 cm,3200.0 mm,5.1,2.0,virginica
69,6.3 cm,3300.0 mm,4.7,1.6,versicolor
70,5.7 cm,3000.0 mm,4.2,1.2,versicolor
71,5.6 cm,2700.0 mm,4.2,1.3,versicolor
72,5.7 cm,3800.0 mm,1.7,0.3,setosa
73,6.7 cm,3300.0 mm,5.7,2.1,virginica
74,5.0 cm,3200.0 mm,1.2,0.2,setosa
75,6.0 cm,3000.0 mm,4.8,1.8,virginica
76,6.7 cm,3300.0 mm,5.7,2.5,virginica
77,6.7 cm,3100.0 mm,4.7,1.5,versicolor
78,5.8 cm,2800.0 mm,5.1,2.4,virginica
79,6.9 cm,3200.0 mm,5.7,2.3,virginica
80,5.5 cm,2400.0 mm,3.8,1.1,versicolor
81,5.9 cm,3000.0 mm,5.1,1.8,virginica
82,6.0 cm,2700.0 mm,5.1,1.6,versicolor
83,7.3 cm,2900.0 mm,6.3,1.8,virginica
84,4.8 cm,3100.0 mm,1.6,0.2,setosa
85,6.3 cm,2300.0 mm,4.4,1.3,versicolor
86,5.7 cm,2500.0 mm,5.0,2.0,virginica
87,5.7 cm,2900.0 mm,4.2,1.3,versicolor
88,6.1 cm,2600.0 mm,5.6,1.4,virginica
89,6.3 cm,3300.0 mm,6.0,2.5,virginica
